date,state,state code,cases,deaths,population
6/10/2021,Alabama,1,547135,11252,4903185
6/10/2021,Alaska,2,70004,352,731545
6/10/2021,Arizona,4,885412,17742,7278717
6/10/2021,Arkansas,5,343216,5856,3017804
6/10/2021,California,6,3800049,63647,38367049
6/10/2021,Colorado,8,552118,6806,5758736
6/10/2021,Connecticut,9,348319,8260,3565287
6/10/2021,Delaware,10,109258,1679,973764
6/10/2021,District of Columbia,11,49151,1137,705749
6/10/2021,Florida,12,2329859,36972,21477737
6/10/2021,Georgia,13,1103192,20421,10617423
6/10/2021,Hawaii,15,35522,502,1415786
6/10/2021,Idaho,16,193475,2119,1787065
6/10/2021,Illinois,17,1390705,25430,12671821
6/10/2021,Indiana,18,751596,13710,6732219
6/10/2021,Iowa,19,372333,6095,3155070
6/10/2021,Kansas,20,317165,5139,2913314
6/10/2021,Kentucky,21,462901,7182,4467673
6/10/2021,Louisiana,22,475126,10638,4648794
6/10/2021,Maine,23,68449,843,1344212
6/10/2021,Maryland,24,461201,9667,6045680
6/10/2021,Massachusetts,25,708579,17929,6892503
6/10/2021,Michigan,26,994668,20698,9986857
6/10/2021,Minnesota,27,603398,7577,5639632
6/10/2021,Mississippi,28,318879,7348,2976149
6/10/2021,Missouri,29,620295,9789,6137428
6/10/2021,Montana,30,112798,1638,1068778
6/10/2021,Nebraska,31,223749,2516,1934408
6/10/2021,Nevada,32,326878,5621,3080156
6/10/2021,New Hampshire,33,99040,1360,1359711
6/10/2021,New Jersey,34,1018833,26322,8882190
6/10/2021,New Mexico,35,203919,4297,2096829
6/10/2021,New York,36,2106056,52927,19453561
6/10/2021,North Carolina,37,1008036,13268,10488084
6/10/2021,North Dakota,38,110382,1548,762062
6/10/2021,Ohio,39,1106064,20021,11689100
6/10/2021,Oklahoma,40,454216,7325,3956971
6/10/2021,Oregon,41,204317,2751,4217737
6/10/2021,Pennsylvania,42,1212155,27493,12801989
6/10/2021,Puerto Rico,72,181646,2625,3193694
6/10/2021,Rhode Island,44,152187,2722,1059361
6/10/2021,South Carolina,45,594659,9761,5148714
6/10/2021,South Dakota,46,124335,2026,884659
6/10/2021,Tennessee,47,850276,12396,6829174
6/10/2021,Texas,48,2969114,52019,28995881
6/10/2021,Utah,49,408812,2319,3205958
6/10/2021,Vermont,50,24314,256,623989
6/10/2021,Virgin Islands,78,4002,88,8535519
6/10/2021,Virginia,51,677425,11270,106405
6/10/2021,Washington,53,444852,5846,7614893
6/10/2021,West Virginia,54,162845,2848,1792147
6/10/2021,Wisconsin,55,676178,8007,5822434
6/10/2021,Wyoming,56,61012,725,578759
