state,fips,POP tot,land area (sq/mi),pop/sqmi
Alabama,1,4903185,50645.7,96.81
Alaska,2,731545,570641,1.28
Arizona,4,7278717,113997,63.85
Arkansas,5,3017804,53179.5,56.75
California,6,39512223,156147,253.05
Colorado,8,5758736,104096.3,55.32
Connecticut,9,3565287,4846,735.72
Delaware,10,973764,2490,391.07
District of Columbia,11,705749,61.1,11550.72
Florida,12,21477737,53999,397.74
Georgia,13,10617423,57915,183.33
Hawaii,15,1415786,6372.2,222.18
Idaho,16,1787065,82809,21.58
Illinois,17,12671821,55593,227.94
Indiana,18,6732219,35828,187.9
Iowa,19,3155070,55861,56.48
Kansas,20,2913314,81823,35.61
Kentucky,21,4467673,39733,112.44
Louisiana,22,4648794,51335,90.56
Maine,23,1344212,35383,37.99
Maryland,24,6045680,11811,511.87
Massachusetts,25,6892503,7838,879.37
Michigan,26,9986857,96716,103.26
Minnesota,27,5639632,79610.3,70.84
Mississippi,28,2976149,46915,63.44
Missouri,29,6137428,68846.9,89.15
Montana,30,1068778,145312,7.36
Nebraska,31,1934408,76121,25.41
Nevada,32,3080156,109818,28.05
New Hampshire,33,1359711,8969,151.6
New Jersey,34,8882190,7418,1197.38
New Mexico,35,2096829,121341,17.28
New York,36,19453561,54341.6,357.99
North Carolina,37,10488084,53664,195.44
North Dakota,38,762062,68994,11.05
Ohio,39,11689100,40957.5,285.4
Oklahoma,40,3956971,68678,57.62
Oregon,41,4217737,95804,44.02
Pennsylvania,42,12801989,45289,282.67
Puerto Rico,72,3193694,3425.3,932.38
Rhode Island,44,1059361,1032,1026.51
South Carolina,45,5148714,31452.6,163.7
South Dakota,46,884659,75896,11.66
Tennessee,47,6829174,41191,165.79
Texas,48,28995881,261962,110.69
Utah,49,3205958,82170,39.02
Vermont,50,623989,9250,67.46
Virgin Islands,78,106405,133.6,796.4
Virginia,51,8535519,39369.1,216.81
Washington,53,7614893,66457,114.58
West Virginia,54,1792147,24088,74.4
Wisconsin,55,5822434,54158.4,107.51
Wyoming,56,578759,97105,5.96
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
