state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,majority,POP tot
Minnesota,Aitkin,27001,6258,3607,10025,62.42%,35.98%,98.40%,RIGHT,15886
Minnesota,Anoka,27003,104902,100893,211132,49.69%,47.79%,97.47%,RIGHT,356921
Minnesota,Becker,27005,12438,6589,19401,64.11%,33.96%,98.07%,RIGHT,34423
Minnesota,Beltrami,27007,12188,11426,24189,50.39%,47.24%,97.62%,RIGHT,47188
Minnesota,Benton,27009,14382,7280,22260,64.61%,32.70%,97.31%,RIGHT,40889
Minnesota,Big Stone,27011,1863,1053,2974,62.64%,35.41%,98.05%,RIGHT,4991
Minnesota,Blue Earth,27013,16731,18330,36051,46.41%,50.84%,97.25%,LEFT,67653
Minnesota,Brown,27015,9552,4753,14635,65.27%,32.48%,97.75%,RIGHT,25008
Minnesota,Carlton,27017,9791,10098,20369,48.07%,49.58%,97.64%,LEFT,35871
Minnesota,Carver,27019,34009,30774,66361,51.25%,46.37%,97.62%,RIGHT,105089
Minnesota,Cass,27021,11620,6342,18289,63.54%,34.68%,98.21%,RIGHT,29779
Minnesota,Chippewa,27023,4250,2226,6611,64.29%,33.67%,97.96%,RIGHT,11800
Minnesota,Chisago,27025,21916,11806,34570,63.40%,34.15%,97.55%,RIGHT,56579
Minnesota,Clay,27027,15043,16357,32239,46.66%,50.74%,97.40%,LEFT,64222
Minnesota,Clearwater,27029,3372,1260,4708,71.62%,26.76%,98.39%,RIGHT,8818
Minnesota,Cook,27031,1203,2496,3806,31.61%,65.58%,97.19%,LEFT,5463
Minnesota,Cottonwood,27033,4165,1834,6107,68.20%,30.03%,98.23%,RIGHT,11196
Minnesota,Crow Wing,27035,25676,13726,40173,63.91%,34.17%,98.08%,RIGHT,65055
Minnesota,Dakota,27037,109638,146155,262259,41.81%,55.73%,97.53%,LEFT,429021
Minnesota,Dodge,27039,7783,4079,12187,63.86%,33.47%,97.33%,RIGHT,20934
Minnesota,Douglas,27041,15799,7868,24165,65.38%,32.56%,97.94%,RIGHT,38141
Minnesota,Faribault,27043,5191,2531,7914,65.59%,31.98%,97.57%,RIGHT,13653
Minnesota,Fillmore,27045,7301,4551,12141,60.14%,37.48%,97.62%,RIGHT,21067
Minnesota,Freeborn,27047,9578,6889,16818,56.95%,40.96%,97.91%,RIGHT,30281
Minnesota,Goodhue,27049,16052,11806,28636,56.06%,41.23%,97.28%,RIGHT,46340
Minnesota,Grant,27051,2269,1300,3654,62.10%,35.58%,97.67%,RIGHT,5972
Minnesota,Hennepin,27053,205973,532623,755969,27.25%,70.46%,97.70%,LEFT,1265843
Minnesota,Houston,27055,6334,4853,11440,55.37%,42.42%,97.79%,RIGHT,18600
Minnesota,Hubbard,27057,8202,4462,12965,63.26%,34.42%,97.68%,RIGHT,21491
Minnesota,Isanti,27059,16491,7138,24235,68.05%,29.45%,97.50%,RIGHT,40596
Minnesota,Itasca,27061,15239,10786,26561,57.37%,40.61%,97.98%,RIGHT,45130
Minnesota,Jackson,27063,3948,1745,5819,67.85%,29.99%,97.83%,RIGHT,9846
Minnesota,Kanabec,27065,6278,2774,9242,67.93%,30.02%,97.94%,RIGHT,16337
Minnesota,Kandiyohi,27067,14437,8440,23367,61.78%,36.12%,97.90%,RIGHT,43199
Minnesota,Kittson,27069,1546,1006,2639,58.58%,38.12%,96.70%,RIGHT,4298
Minnesota,Koochiching,27071,4131,2659,6922,59.68%,38.41%,98.09%,RIGHT,12229
Minnesota,Lac qui Parle,27073,2528,1446,4040,62.57%,35.79%,98.37%,RIGHT,6623
Minnesota,Lake,27075,3393,3647,7202,47.11%,50.64%,97.75%,LEFT,10641
Minnesota,Lake of the Woods,27077,1704,671,2408,70.76%,27.87%,98.63%,RIGHT,3740
Minnesota,Le Sueur,27079,10775,5672,16818,64.07%,33.73%,97.79%,RIGHT,28887
Minnesota,Lincoln,27081,2121,937,3115,68.09%,30.08%,98.17%,RIGHT,5639
Minnesota,Lyon,27083,7979,4634,12893,61.89%,35.94%,97.83%,RIGHT,25474
Minnesota,McLeod,27085,13986,6413,20933,66.81%,30.64%,97.45%,RIGHT,35893
Minnesota,Mahnomen,27087,1142,1112,2304,49.57%,48.26%,97.83%,RIGHT,5527
Minnesota,Marshall,27089,3721,1295,5113,72.78%,25.33%,98.10%,RIGHT,9336
Minnesota,Martin,27091,7480,3305,11009,67.94%,30.02%,97.97%,RIGHT,19683
Minnesota,Meeker,27093,9359,3867,13529,69.18%,28.58%,97.76%,RIGHT,23222
Minnesota,Mille Lacs,27095,9952,4404,14689,67.75%,29.98%,97.73%,RIGHT,26277
Minnesota,Morrison,27097,14821,4367,19558,75.78%,22.33%,98.11%,RIGHT,33386
Minnesota,Mower,27099,10025,8899,19345,51.82%,46.00%,97.82%,RIGHT,40062
Minnesota,Murray,27101,3363,1449,4896,68.69%,29.60%,98.28%,RIGHT,8194
Minnesota,Nicollet,27103,9018,9622,19125,47.15%,50.31%,97.46%,LEFT,34274
Minnesota,Nobles,27105,5600,2933,8715,64.26%,33.65%,97.91%,RIGHT,21629
Minnesota,Norman,27107,1953,1404,3441,56.76%,40.80%,97.56%,RIGHT,6375
Minnesota,Olmsted,27109,39692,49491,91385,43.43%,54.16%,97.59%,LEFT,158293
Minnesota,Otter Tail,27111,23800,11958,36399,65.39%,32.85%,98.24%,RIGHT,58746
Minnesota,Pennington,27113,4532,2568,7277,62.28%,35.29%,97.57%,RIGHT,14119
Minnesota,Pine,27115,10256,5419,16001,64.10%,33.87%,97.96%,RIGHT,29579
Minnesota,Pipestone,27117,3553,1306,4940,71.92%,26.44%,98.36%,RIGHT,9126
Minnesota,Polk,27119,9865,5439,15594,63.26%,34.88%,98.14%,RIGHT,31364
Minnesota,Pope,27121,4417,2477,7022,62.90%,35.27%,98.18%,RIGHT,11249
Minnesota,Ramsey,27123,77376,211620,295977,26.14%,71.50%,97.64%,LEFT,550321
Minnesota,Red Lake,27125,1454,691,2196,66.21%,31.47%,97.68%,RIGHT,4055
Minnesota,Redwood,27127,5771,2355,8284,69.66%,28.43%,98.09%,RIGHT,15170
Minnesota,Renville,27129,5467,2496,8128,67.26%,30.71%,97.97%,RIGHT,14548
Minnesota,Rice,27131,17464,17402,35686,48.94%,48.76%,97.70%,RIGHT,66972
Minnesota,Rock,27133,3583,1556,5240,68.38%,29.69%,98.07%,RIGHT,9315
Minnesota,Roseau,27135,6065,2188,8421,72.02%,25.98%,98.00%,RIGHT,15165
Minnesota,St. Louis,27137,49017,67704,119531,41.01%,56.64%,97.65%,LEFT,199070
Minnesota,Scott,27139,45872,40040,87965,52.15%,45.52%,97.67%,RIGHT,149013
Minnesota,Sherburne,27141,36222,18065,55612,65.13%,32.48%,97.62%,RIGHT,97238
Minnesota,Sibley,27143,5864,2417,8451,69.39%,28.60%,97.99%,RIGHT,14865
Minnesota,Stearns,27145,50959,31879,84835,60.07%,37.58%,97.65%,RIGHT,161075
Minnesota,Steele,27147,12656,7917,21128,59.90%,37.47%,97.37%,RIGHT,36649
Minnesota,Stevens,27149,3044,1922,5085,59.86%,37.80%,97.66%,RIGHT,9805
Minnesota,Swift,27151,3316,1784,5193,63.86%,34.35%,98.21%,RIGHT,9266
Minnesota,Todd,27153,9753,3286,13257,73.57%,24.79%,98.36%,RIGHT,24664
Minnesota,Traverse,27155,1172,661,1864,62.88%,35.46%,98.34%,RIGHT,3259
Minnesota,Wabasha,27157,8153,4696,13123,62.13%,35.78%,97.91%,RIGHT,21627
Minnesota,Wadena,27159,5520,2023,7677,71.90%,26.35%,98.25%,RIGHT,13682
Minnesota,Waseca,27161,6624,3496,10389,63.76%,33.65%,97.41%,RIGHT,18612
Minnesota,Washington,27163,73764,89165,166786,44.23%,53.46%,97.69%,LEFT,262440
Minnesota,Watonwan,27165,3103,1987,5201,59.66%,38.20%,97.87%,RIGHT,10897
Minnesota,Wilkin,27167,2328,1026,3430,67.87%,29.91%,97.78%,RIGHT,6207
Minnesota,Winona,27169,13227,13333,27173,48.68%,49.07%,97.74%,LEFT,50484
Minnesota,Wright,27171,51973,28430,82426,63.05%,34.49%,97.55%,RIGHT,138377
Minnesota,Yellow Medicine,27173,3734,1688,5528,67.55%,30.54%,98.08%,RIGHT,9709
