date,county,state,fips,cases,deaths
6/10/2021,Abbeville,South Carolina,45001,2599,41
6/10/2021,Aiken,South Carolina,45003,17505,226
6/10/2021,Allendale,South Carolina,45005,950,15
6/10/2021,Anderson,South Carolina,45007,23249,530
6/10/2021,Bamberg,South Carolina,45009,1595,52
6/10/2021,Barnwell,South Carolina,45011,2608,57
6/10/2021,Beaufort,South Carolina,45013,17099,209
6/10/2021,Berkeley,South Carolina,45015,17936,202
6/10/2021,Calhoun,South Carolina,45017,1337,37
6/10/2021,Charleston,South Carolina,45019,43891,511
6/10/2021,Cherokee,South Carolina,45021,6164,157
6/10/2021,Chester,South Carolina,45023,4276,76
6/10/2021,Chesterfield,South Carolina,45025,4903,106
6/10/2021,Clarendon,South Carolina,45027,3468,114
6/10/2021,Colleton,South Carolina,45029,3685,129
6/10/2021,Darlington,South Carolina,45031,8592,180
6/10/2021,Dillon,South Carolina,45033,4416,85
6/10/2021,Dorchester,South Carolina,45035,18263,222
6/10/2021,Edgefield,South Carolina,45037,3167,42
6/10/2021,Fairfield,South Carolina,45039,2416,83
6/10/2021,Florence,South Carolina,45041,17921,421
6/10/2021,Georgetown,South Carolina,45043,6784,140
6/10/2021,Greenville,South Carolina,45045,75352,1024
6/10/2021,Greenwood,South Carolina,45047,8277,172
6/10/2021,Hampton,South Carolina,45049,1928,52
6/10/2021,Horry,South Carolina,45051,39468,582
6/10/2021,Jasper,South Carolina,45053,2420,48
6/10/2021,Kershaw,South Carolina,45055,7550,141
6/10/2021,Lancaster,South Carolina,45057,10898,169
6/10/2021,Laurens,South Carolina,45059,7523,171
6/10/2021,Lee,South Carolina,45061,1930,64
6/10/2021,Lexington,South Carolina,45063,33697,485
6/10/2021,McCormick,South Carolina,45065,1032,28
6/10/2021,Marion,South Carolina,45067,3554,107
6/10/2021,Marlboro,South Carolina,45069,3489,57
6/10/2021,Newberry,South Carolina,45071,5098,108
6/10/2021,Oconee,South Carolina,45073,9895,136
6/10/2021,Orangeburg,South Carolina,45075,9879,253
6/10/2021,Pickens,South Carolina,45077,19087,303
6/10/2021,Richland,South Carolina,45079,47308,574
6/10/2021,Saluda,South Carolina,45081,1814,48
6/10/2021,Spartanburg,South Carolina,45083,41908,823
6/10/2021,Sumter,South Carolina,45085,10525,209
6/10/2021,Union,South Carolina,45087,3169,83
6/10/2021,Williamsburg,South Carolina,45089,4113,100
6/10/2021,York,South Carolina,45091,31921,389
