sc,p19,pv,hse,bde,pd,nhi,clf,pip,pt,vap,cf,ccc,ccd,tv,nv
9,2735705,102746,1905442,741216,153698,250622,2360219,356528,3565287,2735705,33,348319,8260,1824317,911388
38,561285,26971,408332,120457,31342,61947,527346,80778,762062,561285,32,110382,1548,361819,199466
23,1063054,61989,717899,221830,91779,136153,845509,146519,1344212,1063054,28,68449,843,816428,246626
33,1068673,58503,756957,276289,71703,103745,920524,99258,1359711,1068673,17,99040,1360,804430,264243
44,820818,34413,557719,185720,62109,51165,682228,114410,1059361,820818,17,152187,2722,513627,307191
15,1085694,60969,750267,243836,53123,71197,874955,131668,1415786,1085694,13,35522,502,574469,511225
10,744852,38026,499239,156761,47255,79151,606654,110035,973764,744852,10,109258,1679,504010,240842
50,489574,22564,337559,125909,38276,35125,409960,63646,623989,489574,9,24314,256,367428,122146
78,79890,3247,40687,7811,11509,39941,82634,47062,106405,79890,3,4002,88,17561,62329
11,556412,17918,424976,244786,40339,27758,490495,95276,705749,556412,3,49151,1137,344356,212056
